moisture_content,pesticide_residue,aflatoxin_b1,microbial_load,heavy_metals,storage_duration,temperature,packaging_integrity,compliant
15.57,0.032,3.38,20431,0.001,35,20.9,Fair,1
12.64,0.034,6.36,6380,0.066,56,19.4,Good,0
9.89,0.037,2.88,500,0.066,7,24.8,Good,1
9.66,0.004,3.93,4606,0.04,39,29.8,Good,1
10.15,0.079,3.44,16794,0.083,41,29.5,Fair,0
6.19,0.013,0.89,17295,0.014,31,35.6,Good,1
13.99,0.003,0.37,15570,0.012,29,18.5,Good,1
13.21,0.108,0.08,19832,0.008,80,36.5,Fair,0
5.56,0.107,23.17,7212,0.106,9,30.0,Good,0
7.53,0.006,7.84,9247,0.035,62,28.9,Fair,1
7.63,0.021,0.94,15272,0.136,30,25.6,Fair,1
7.04,0.045,5.23,12726,0.043,22,15.1,Good,1
10.14,0.055,1.06,2657,0.011,71,21.8,Poor,0
11.26,0.075,0.81,17134,0.157,37,22.5,Good,0
9.45,0.011,1.52,17069,0.018,77,26.1,Fair,1
11.33,0.116,4.59,8394,0.02,47,25.8,Good,1
16.64,0.065,7.91,24541,0.07,74,18.7,Poor,0
13.09,0.045,1.16,21978,0.103,19,25.4,Good,0
9.55,0.019,0.74,16429,0.01,66,31.1,Good,1
13.83,0.071,4.94,13786,0.006,76,31.1,Good,0
13.17,0.052,0.48,22465,0.002,86,23.9,Fair,0
7.25,0.114,1.42,8304,0.075,38,27.1,Good,1
10.12,0.017,2.94,23101,0.035,48,24.2,Good,1
9.46,0.044,3.62,14149,0.027,40,21.9,Fair,1
11.75,0.022,2.45,21864,0.036,32,20.9,Good,1
12.38,0.017,0.23,14023,0.011,40,21.4,Good,1
11.56,0.051,10.57,7038,0.036,34,24.1,Good,0
8.24,0.001,20.69,17632,0.013,9,31.3,Good,1
8.66,0.045,2.84,17218,0.033,88,24.9,Fair,1
10.68,0.078,0.41,15140,0.061,34,28.3,Good,1
8.34,0.0,1.47,8743,0.004,20,21.2,Good,1
5.0,0.083,9.43,5172,0.034,33,24.2,Good,0
9.02,0.007,6.11,17530,0.007,10,20.6,Poor,0
10.54,0.003,12.44,25426,0.014,78,26.3,Good,0
9.28,0.059,10.92,13685,0.017,29,26.1,Good,0
6.35,0.047,0.73,16275,0.019,47,28.3,Fair,1
12.43,0.032,0.37,4884,0.002,28,16.0,Poor,0
8.85,0.008,1.99,14010,0.148,17,23.0,Poor,0
10.81,0.06,1.68,5590,0.008,84,27.4,Poor,0
13.55,0.003,1.63,18847,0.019,59,20.1,Good,1
8.81,0.019,0.57,10085,0.018,59,21.5,Fair,1
13.27,0.009,2.53,11296,0.081,20,31.5,Good,1
6.68,0.015,0.23,3833,0.024,11,28.0,Good,1
9.98,0.005,1.47,13275,0.13,18,26.6,Fair,1
14.96,0.031,0.87,6221,0.071,33,17.6,Poor,0
12.85,0.002,1.19,16944,0.031,24,26.5,Good,1
10.53,0.13,2.35,500,0.12,53,24.2,Fair,0
7.6,0.075,1.81,500,0.079,84,32.0,Fair,1
12.13,0.02,0.21,28352,0.03,68,20.3,Good,0
11.76,0.032,0.91,9105,0.017,68,17.5,Poor,1
9.72,0.126,2.23,22596,0.037,65,24.7,Good,1
9.21,0.0,0.16,12308,0.189,25,29.8,Good,1
11.39,0.052,3.67,22100,0.185,53,28.8,Good,0
8.95,0.068,3.64,8819,0.025,45,22.9,Fair,1
12.74,0.06,7.52,12760,0.009,65,18.6,Good,0
8.26,0.002,1.55,10108,0.041,77,21.3,Poor,1
15.67,0.106,3.0,10134,0.018,50,26.8,Good,0
8.81,0.038,14.0,6181,0.065,83,27.5,Good,1
14.34,0.039,3.69,40216,0.02,49,19.4,Good,0
15.77,0.023,1.3,8803,0.041,34,14.7,Fair,1
10.09,0.026,1.64,28147,0.033,12,26.8,Poor,0
5.9,0.026,2.24,19740,0.004,14,22.6,Good,1
11.9,0.059,0.26,7120,0.002,9,26.0,Fair,1
9.76,0.074,1.22,10367,0.027,8,35.8,Good,1
5.73,0.015,0.45,8750,0.073,87,23.7,Poor,0
14.8,0.013,3.99,21417,0.03,45,21.0,Good,0
12.87,0.002,2.66,16638,0.04,26,28.8,Good,0
12.1,0.004,0.06,37517,0.166,37,21.3,Fair,0
10.54,0.034,0.54,26697,0.026,79,27.2,Fair,0
7.15,0.015,0.9,17548,0.12,69,19.1,Good,1
13.16,0.026,1.02,11432,0.02,44,25.6,Good,0
8.83,0.009,5.86,12555,0.028,53,31.6,Fair,1
9.33,0.031,9.78,24116,0.007,84,23.1,Fair,0
6.7,0.111,1.29,26364,0.02,64,28.0,Fair,0
8.23,0.02,1.33,25808,0.188,37,29.4,Fair,0
9.4,0.118,0.99,16854,0.02,69,32.8,Good,1
5.41,0.01,0.24,13058,0.009,35,15.5,Good,1
12.87,0.007,3.64,16660,0.055,40,21.3,Good,1
14.97,0.047,4.33,14113,0.193,40,23.1,Good,0
11.86,0.064,7.99,28106,0.031,45,26.9,Fair,0
9.72,0.079,2.62,15688,0.027,79,21.3,Good,1
8.05,0.143,2.87,15673,0.017,44,22.8,Good,1
12.38,0.014,6.06,2657,0.009,33,24.2,Poor,0
9.97,0.008,8.87,17455,0.031,65,26.4,Good,1
8.47,0.002,0.09,11169,0.032,56,26.8,Good,1
11.19,0.023,3.07,17108,0.032,38,30.5,Poor,0
5.3,0.028,2.41,16949,0.017,28,19.5,Good,1
10.33,0.003,0.67,9989,0.029,48,20.7,Good,1
6.62,0.136,11.58,21382,0.12,5,15.7,Fair,0
10.14,0.001,1.19,19466,0.03,63,26.6,Good,1
5.0,0.007,15.17,14955,0.046,24,30.9,Good,1
10.83,0.038,1.85,15068,0.074,19,17.2,Good,1
6.46,0.026,6.32,500,0.083,25,29.5,Good,1
10.49,0.024,13.64,32569,0.042,78,26.0,Fair,0
6.73,0.051,1.86,14266,0.025,78,20.6,Good,0
12.28,0.136,2.34,12665,0.019,49,19.4,Fair,0
12.79,0.002,1.95,4131,0.034,32,19.6,Good,1
9.8,0.024,3.44,17911,0.205,25,30.8,Fair,1
12.92,0.045,0.26,27073,0.012,76,28.0,Good,0
5.55,0.006,12.26,13332,0.004,21,31.0,Good,1
5.42,0.014,1.09,11611,0.061,23,18.2,Good,1
8.11,0.003,1.52,20855,0.016,48,27.5,Fair,1
11.15,0.046,1.5,16235,0.0,39,23.3,Good,1
7.71,0.067,1.39,23290,0.03,66,28.4,Fair,0
6.54,0.007,5.57,1711,0.032,33,27.5,Good,0
15.85,0.029,0.21,23200,0.013,46,20.3,Good,1
8.32,0.012,2.49,18233,0.006,70,28.6,Fair,1
10.92,0.072,3.44,8403,0.052,43,22.4,Fair,1
10.1,0.023,1.38,6263,0.059,72,25.7,Good,1
5.0,0.005,4.19,31336,0.101,75,21.7,Good,0
10.59,0.012,0.58,9509,0.143,56,17.8,Fair,1
10.97,0.013,4.08,10738,0.021,89,20.5,Poor,1
7.11,0.048,5.17,18898,0.052,15,30.4,Fair,0
9.62,0.002,1.8,21775,0.088,64,21.7,Good,1
9.82,0.106,4.1,17096,0.003,87,15.3,Good,1
14.11,0.043,5.03,6311,0.016,31,26.8,Good,0
7.47,0.082,8.86,750,0.004,62,13.8,Fair,0
13.52,0.084,1.11,12819,0.04,21,27.8,Good,0
12.04,0.023,1.68,7973,0.071,54,25.5,Good,1
13.45,0.001,0.2,17372,0.043,74,19.2,Good,1
6.0,0.001,5.32,24508,0.068,62,34.2,Good,1
12.55,0.132,3.96,18341,0.01,13,26.6,Fair,0
13.85,0.049,7.19,11310,0.051,31,28.8,Poor,0
6.42,0.05,0.77,17286,0.013,47,27.1,Good,1
8.27,0.006,4.15,10285,0.058,55,22.7,Fair,1
5.0,0.166,1.38,5446,0.017,35,17.1,Poor,0
11.24,0.09,0.44,20523,0.009,87,26.3,Good,0
6.44,0.008,1.45,23462,0.005,17,24.1,Fair,1
7.26,0.006,4.12,11098,0.053,50,30.4,Fair,1
5.84,0.002,2.43,21110,0.111,53,27.5,Fair,0
7.36,0.17,4.64,20939,0.006,71,21.8,Poor,0
6.88,0.023,1.49,30561,0.072,84,26.9,Good,1
11.75,0.012,9.73,26145,0.015,66,29.2,Good,0
6.98,0.069,1.07,17881,0.053,39,20.5,Good,0
10.66,0.013,6.85,21819,0.168,82,18.9,Good,0
8.21,0.013,6.77,12606,0.024,12,19.1,Good,0
15.46,0.069,1.32,16675,0.132,47,20.1,Fair,0
13.06,0.008,1.79,22351,0.051,11,27.7,Poor,0
5.0,0.068,2.26,18374,0.109,39,31.6,Fair,0
6.72,0.004,0.07,12970,0.103,25,28.4,Good,1
7.48,0.007,12.85,26535,0.008,5,22.4,Good,0
13.44,0.0,2.2,500,0.063,42,20.6,Fair,1
12.32,0.009,1.08,23768,0.027,26,27.1,Fair,1
7.96,0.009,3.94,500,0.022,89,14.9,Good,1
5.0,0.065,2.4,20098,0.034,21,33.1,Good,1
9.25,0.122,3.05,20012,0.05,51,23.4,Good,1
7.18,0.024,6.02,10475,0.026,83,22.6,Fair,1
7.43,0.167,4.39,15284,0.017,54,27.4,Good,1
6.83,0.06,4.48,21891,0.004,33,26.3,Good,0
14.41,0.046,0.95,9404,0.014,28,17.8,Good,0
8.55,0.135,1.67,22610,0.008,18,27.6,Fair,1
10.38,0.015,1.84,11246,0.073,73,27.9,Good,1
9.61,0.026,9.11,10133,0.082,77,28.0,Good,0
17.17,0.041,0.07,24474,0.161,8,28.6,Fair,0
10.34,0.001,3.12,14352,0.004,63,9.1,Good,1
6.43,0.042,0.76,14600,0.103,57,21.0,Fair,1
10.1,0.065,6.81,15012,0.03,69,27.1,Good,0
7.4,0.022,7.68,15782,0.097,13,23.8,Fair,1
8.78,0.051,0.43,3021,0.078,24,31.4,Fair,1
12.02,0.005,8.06,18073,0.045,15,19.1,Fair,0
9.24,0.004,2.82,20164,0.038,38,25.1,Fair,1
6.71,0.075,7.13,500,0.026,33,38.8,Good,0
9.08,0.027,1.63,12875,0.149,30,23.0,Good,1
11.46,0.032,1.76,500,0.03,87,18.0,Good,1
7.88,0.057,0.92,26418,0.021,52,22.9,Good,0
10.92,0.017,5.13,13017,0.019,82,24.2,Good,1
9.45,0.009,11.51,14498,0.128,51,26.2,Good,0
12.61,0.002,0.48,5509,0.0,89,27.9,Good,1
11.86,0.007,1.34,25806,0.039,11,21.7,Good,1
12.06,0.041,6.47,13866,0.031,35,22.2,Good,0
11.44,0.039,11.69,24452,0.003,10,36.7,Good,1
12.61,0.006,7.23,22590,0.008,30,21.6,Good,0
5.95,0.021,17.24,16175,0.003,76,22.4,Good,1
6.27,0.009,1.54,16862,0.045,22,21.6,Good,1
12.9,0.048,4.12,8180,0.014,76,27.4,Good,1
7.68,0.101,4.2,27876,0.005,85,20.9,Good,0
6.34,0.027,0.53,1491,0.074,73,19.4,Good,1
6.92,0.064,4.91,12013,0.011,36,26.3,Good,0
7.53,0.061,1.98,21616,0.04,19,25.8,Good,1
14.05,0.081,8.98,25341,0.126,13,33.3,Fair,0
10.92,0.007,6.39,11411,0.031,19,26.2,Good,1
13.29,0.039,4.36,500,0.09,23,25.0,Poor,0
13.69,0.014,4.07,19698,0.003,51,24.0,Good,1
7.78,0.074,0.87,4323,0.088,52,28.9,Good,1
12.91,0.081,2.26,14587,0.008,38,27.5,Poor,0
8.03,0.052,1.49,13114,0.076,42,32.6,Good,1
9.76,0.019,1.83,26027,0.022,49,25.6,Fair,1
10.86,0.051,3.44,13822,0.052,7,26.0,Good,1
17.18,0.003,0.86,14081,0.031,9,27.8,Good,1
12.13,0.011,5.46,39903,0.009,21,16.0,Good,0
9.01,0.042,6.96,9126,0.016,88,24.3,Good,1
10.03,0.002,3.37,13098,0.127,87,14.5,Poor,0
16.13,0.003,2.51,13512,0.03,54,17.0,Good,1
13.86,0.044,1.65,15116,0.137,82,28.7,Poor,0
11.62,0.037,3.02,32480,0.041,68,21.6,Good,1
9.49,0.055,4.73,8497,0.234,28,14.6,Good,0
9.93,0.046,8.56,17733,0.003,80,23.6,Good,1
12.13,0.002,1.74,15155,0.097,38,23.3,Good,0
5.98,0.057,2.81,14835,0.003,27,26.4,Good,1
11.83,0.051,11.34,2557,0.107,48,26.7,Good,0
14.43,0.005,3.02,22650,0.173,46,36.6,Good,0
5.0,0.095,0.85,9353,0.048,39,24.4,Good,1
8.96,0.119,1.25,8865,0.136,70,25.3,Fair,0
10.74,0.05,10.34,15624,0.036,14,19.6,Good,1
10.24,0.039,0.04,14680,0.15,37,18.0,Good,1
5.25,0.021,0.98,21534,0.169,16,23.7,Good,1
9.79,0.009,0.33,12810,0.004,73,24.9,Fair,1
11.31,0.002,6.11,21750,0.093,72,17.1,Fair,1
10.15,0.158,0.68,9461,0.079,20,21.7,Good,0
13.1,0.032,9.28,11740,0.13,5,24.4,Fair,0
9.37,0.025,3.74,19144,0.171,27,22.4,Good,1
10.41,0.006,2.33,38345,0.02,49,24.5,Fair,1
10.05,0.018,0.22,8871,0.01,54,19.4,Good,1
11.65,0.02,2.18,29411,0.041,5,26.1,Poor,0
8.66,0.019,3.37,12048,0.055,39,26.1,Good,1
11.67,0.024,1.44,10269,0.024,77,20.8,Good,1
12.78,0.101,3.49,34053,0.023,73,29.1,Good,0
10.32,0.11,1.47,6371,0.102,69,26.5,Good,0
8.48,0.028,5.17,13201,0.033,50,20.4,Fair,1
11.8,0.032,4.81,22663,0.027,16,26.5,Fair,1
16.2,0.095,3.54,14184,0.071,72,20.8,Good,0
8.2,0.092,9.06,2529,0.058,78,20.2,Good,0
8.38,0.012,1.55,11700,0.042,42,21.3,Good,1
10.82,0.016,5.46,18339,0.008,16,30.5,Good,1
8.36,0.006,7.83,4313,0.041,49,28.6,Fair,1
8.77,0.047,0.07,21266,0.023,34,21.1,Fair,1
10.24,0.045,6.5,27950,0.054,35,27.1,Fair,0
14.72,0.019,1.44,18653,0.031,74,25.4,Fair,0
12.28,0.004,1.06,21863,0.097,40,27.8,Good,1
7.72,0.059,0.31,7170,0.088,41,21.0,Good,1
10.57,0.13,6.59,2919,0.135,34,23.9,Good,0
13.25,0.026,20.86,16682,0.057,11,27.4,Good,0
5.0,0.0,2.39,17049,0.357,29,31.0,Good,1
8.46,0.063,9.45,8587,0.185,24,23.3,Good,0
12.31,0.04,0.72,1384,0.067,43,22.2,Poor,0
9.18,0.028,1.52,500,0.065,79,25.8,Fair,1
13.49,0.02,1.52,543,0.163,31,23.6,Good,0
9.43,0.023,6.43,3020,0.067,41,18.8,Fair,1
6.62,0.001,6.35,6230,0.013,84,24.7,Fair,1
17.72,0.148,13.5,500,0.012,73,22.1,Fair,0
8.14,0.107,0.37,21738,0.117,18,25.1,Good,0
6.01,0.037,0.3,500,0.013,84,25.5,Good,1
10.45,0.04,1.29,16917,0.004,82,28.7,Poor,1
5.0,0.02,0.79,17491,0.043,86,20.7,Fair,1
10.02,0.077,2.28,10787,0.073,27,22.4,Fair,1
8.85,0.115,10.74,500,0.012,35,25.2,Good,0
6.43,0.106,1.94,22711,0.082,5,24.9,Good,1
7.94,0.002,4.12,10062,0.015,9,28.4,Fair,1
8.16,0.022,15.24,10184,0.017,19,21.8,Good,0
5.95,0.109,0.2,29145,0.012,53,22.8,Good,0
10.33,0.048,4.07,9970,0.028,15,23.6,Poor,1
13.27,0.028,1.48,9015,0.084,78,23.4,Good,1
10.37,0.006,1.04,13641,0.03,5,33.2,Fair,1
15.88,0.049,12.49,18604,0.038,38,25.7,Good,0
11.29,0.074,1.8,11969,0.011,56,35.4,Good,1
5.0,0.055,7.04,27795,0.074,8,25.8,Poor,0
5.85,0.074,1.45,6590,0.009,7,12.3,Poor,0
9.32,0.106,3.47,13865,0.055,82,31.0,Good,1
5.44,0.071,5.82,5083,0.038,5,17.5,Good,0
12.26,0.013,0.85,10083,0.035,78,24.1,Good,1
9.67,0.032,6.79,13716,0.002,88,37.5,Good,1
6.3,0.035,3.53,22619,0.03,76,23.2,Good,1
5.0,0.061,2.01,7217,0.135,37,27.0,Fair,0
9.81,0.084,3.0,3392,0.133,46,19.8,Fair,0
9.92,0.092,9.67,15251,0.057,71,28.5,Good,0
9.99,0.007,0.81,10735,0.023,41,21.7,Good,1
10.58,0.034,4.06,28148,0.02,70,27.0,Good,1
13.56,0.015,0.36,27322,0.005,83,21.2,Good,0
11.15,0.072,0.18,18275,0.0,22,23.6,Poor,0
9.44,0.001,1.12,14171,0.107,40,27.1,Good,1
10.66,0.029,9.55,20276,0.119,15,33.8,Good,0
8.47,0.003,1.3,500,0.02,85,23.4,Fair,1
5.0,0.027,5.37,17622,0.055,15,29.8,Poor,0
7.78,0.108,5.09,21918,0.07,23,35.4,Fair,0
6.98,0.131,8.84,21291,0.037,44,22.2,Good,0
8.18,0.04,4.81,27545,0.062,9,24.3,Good,1
13.38,0.026,8.72,26027,0.005,45,21.6,Poor,0
10.02,0.011,2.11,3171,0.076,70,16.3,Good,1
14.0,0.033,2.67,4448,0.084,51,25.1,Good,1
7.15,0.029,0.48,12265,0.136,20,22.2,Good,1
5.52,0.024,0.75,15546,0.008,56,16.3,Good,1
8.8,0.09,14.31,9038,0.098,14,24.5,Good,0
11.84,0.002,3.14,12254,0.047,78,14.6,Fair,1
10.26,0.013,0.19,6710,0.055,78,27.0,Fair,1
8.72,0.012,9.37,19447,0.003,8,15.5,Fair,1
7.7,0.044,0.0,10169,0.082,11,22.8,Good,1
6.36,0.015,13.29,13840,0.028,79,25.2,Good,1
11.74,0.034,0.22,26296,0.008,57,25.1,Good,1
5.6,0.119,7.39,11929,0.006,46,26.0,Good,0
9.86,0.018,4.08,5135,0.007,41,27.9,Good,1
9.01,0.072,1.41,15235,0.018,35,27.6,Good,0
10.32,0.023,11.9,12449,0.014,50,34.4,Good,1
9.51,0.01,5.36,17464,0.012,78,18.5,Poor,0
6.3,0.002,1.25,9524,0.053,50,24.3,Fair,1
11.77,0.029,1.25,1995,0.061,84,12.5,Good,1
19.29,0.007,5.72,12934,0.21,85,26.5,Fair,0
9.29,0.031,7.58,500,0.034,54,23.2,Good,0
13.31,0.004,3.71,26535,0.006,11,12.8,Good,0
12.05,0.023,0.77,15269,0.058,32,26.3,Good,0
8.21,0.042,0.1,1604,0.083,50,23.8,Good,1
9.64,0.046,1.15,16474,0.042,39,22.9,Good,1
11.08,0.022,2.37,5427,0.015,75,39.6,Good,1
7.02,0.004,5.01,19898,0.025,40,20.1,Good,1
9.1,0.044,4.38,9948,0.017,44,22.2,Good,1
8.2,0.009,1.03,9772,0.051,11,23.1,Good,1
13.81,0.033,1.18,7159,0.053,14,13.0,Good,1
14.18,0.082,27.27,3169,0.013,26,33.4,Good,0
9.32,0.019,1.94,20723,0.091,60,17.1,Fair,1
13.24,0.082,2.88,14438,0.055,6,12.4,Fair,0
7.32,0.023,2.74,11896,0.026,62,27.5,Good,1
9.74,0.005,2.03,21382,0.099,11,15.6,Good,1
11.94,0.031,7.16,6207,0.007,16,28.2,Good,1
10.25,0.037,10.66,24447,0.017,25,27.0,Fair,1
10.31,0.033,5.22,500,0.022,57,31.2,Fair,1
16.69,0.004,0.51,15008,0.092,64,17.3,Fair,1
5.0,0.009,0.25,3041,0.045,89,21.4,Fair,1
12.43,0.117,2.1,11434,0.05,43,35.3,Good,0
14.1,0.053,4.36,16007,0.006,66,29.9,Poor,0
10.0,0.069,0.15,20486,0.008,68,14.2,Good,1
14.96,0.099,4.89,19984,0.056,38,35.0,Good,0
11.18,0.03,0.31,18479,0.065,81,23.0,Good,1
7.01,0.035,9.38,19150,0.019,61,27.3,Good,1
6.49,0.015,0.79,13286,0.014,43,29.2,Good,1
9.82,0.079,3.34,18572,0.009,63,35.9,Fair,1
10.58,0.093,5.56,34937,0.02,88,23.6,Fair,0
13.21,0.002,0.1,2947,0.03,33,16.8,Good,1
8.73,0.029,0.89,21900,0.004,17,16.5,Good,1
12.46,0.05,4.43,21538,0.032,59,25.5,Fair,1
8.75,0.018,1.3,26017,0.102,34,30.1,Fair,0
10.22,0.029,3.45,23205,0.069,86,25.2,Fair,1
12.17,0.004,5.85,8314,0.018,76,30.5,Good,0
11.73,0.11,4.53,2931,0.027,63,18.6,Poor,0
7.31,0.041,1.76,27389,0.039,76,26.6,Good,1
9.07,0.003,12.33,2617,0.013,83,26.3,Good,0
9.88,0.0,5.52,13698,0.136,51,20.6,Good,0
10.7,0.098,0.94,9255,0.055,11,19.3,Fair,1
11.05,0.025,3.66,19273,0.018,61,21.4,Good,1
9.38,0.011,5.52,6751,0.015,79,24.4,Fair,1
10.44,0.02,5.0,24374,0.017,37,32.5,Good,1
15.61,0.011,1.57,15278,0.02,7,30.4,Fair,1
8.29,0.024,0.13,14867,0.021,83,28.4,Good,1
5.57,0.022,4.23,17060,0.065,5,21.1,Good,1
7.39,0.172,1.51,20796,0.015,6,27.2,Good,1
9.52,0.01,2.9,7655,0.015,84,25.7,Good,1
12.61,0.021,5.2,24087,0.144,33,24.2,Good,0
8.86,0.009,8.37,4436,0.009,43,33.0,Good,0
12.63,0.034,2.32,14511,0.086,57,21.3,Fair,1
13.25,0.062,1.4,6388,0.034,40,17.8,Good,0
8.57,0.002,0.88,10581,0.022,5,19.5,Fair,1
16.88,0.042,1.96,29939,0.052,8,24.7,Good,0
8.02,0.004,6.92,11187,0.019,39,18.5,Good,1
9.2,0.027,7.56,25960,0.061,46,27.6,Good,0
9.02,0.013,6.5,17329,0.025,46,23.2,Fair,1
8.11,0.0,1.12,15420,0.057,15,23.9,Fair,1
7.18,0.008,0.33,10160,0.086,70,27.5,Good,1
8.29,0.029,3.52,12137,0.022,45,31.9,Poor,1
5.96,0.019,0.61,26331,0.134,28,28.9,Poor,0
8.2,0.09,3.02,16117,0.055,75,23.2,Good,1
12.23,0.036,0.13,22281,0.203,59,24.1,Good,0
6.37,0.102,5.67,15453,0.066,65,22.0,Fair,0
8.15,0.023,6.09,13068,0.079,76,32.3,Fair,1
7.21,0.005,1.28,5927,0.012,43,29.8,Good,1
13.38,0.034,1.81,8515,0.059,8,29.3,Fair,1
6.28,0.045,5.92,19862,0.032,57,29.8,Good,1
9.68,0.065,2.11,11067,0.087,24,17.9,Good,1
13.95,0.011,0.46,4134,0.079,13,28.5,Good,0
8.67,0.156,1.25,7592,0.061,7,24.4,Fair,1
9.57,0.129,4.73,13679,0.081,38,19.2,Good,1
7.84,0.04,1.19,500,0.03,53,23.8,Good,1
12.7,0.072,1.15,23998,0.047,54,23.8,Good,0
5.0,0.01,0.45,23951,0.15,67,31.4,Good,0
9.48,0.035,14.93,23787,0.038,81,35.3,Fair,0
5.68,0.02,0.19,18515,0.011,47,31.3,Fair,1
5.0,0.146,4.35,14969,0.026,28,20.5,Good,1
12.43,0.014,3.97,17640,0.017,5,20.9,Good,0
8.9,0.06,3.75,19034,0.177,36,22.8,Good,0
10.55,0.031,1.36,17916,0.052,36,21.6,Poor,1
11.47,0.015,1.16,13167,0.038,75,22.2,Fair,1
11.53,0.021,6.12,9970,0.024,35,11.9,Good,1
5.96,0.068,6.49,12750,0.033,30,18.1,Good,0
12.71,0.002,0.4,8871,0.014,84,22.7,Good,1
9.18,0.016,0.93,22761,0.024,31,19.1,Good,1
12.99,0.008,2.09,13653,0.055,26,28.0,Good,1
7.45,0.008,5.72,11136,0.001,52,25.6,Good,1
5.0,0.014,5.29,13047,0.005,81,26.5,Good,1
7.34,0.036,2.98,12339,0.011,43,27.0,Good,1
13.96,0.049,6.29,6791,0.062,62,26.9,Good,0
13.68,0.01,3.57,5318,0.122,72,30.3,Good,0
9.23,0.038,6.31,5214,0.047,64,32.1,Good,1
10.44,0.029,5.42,9370,0.036,40,23.3,Good,0
9.78,0.083,1.6,23957,0.029,6,26.4,Good,1
11.74,0.038,4.14,18680,0.001,75,21.6,Fair,1
12.46,0.002,0.9,10867,0.027,48,19.9,Good,1
10.25,0.02,1.42,12045,0.101,68,24.9,Good,1
13.47,0.009,2.33,14134,0.068,57,30.6,Fair,1
9.42,0.113,2.67,26772,0.031,71,26.1,Good,0
13.87,0.138,5.59,32144,0.089,9,22.7,Fair,0
8.17,0.013,3.03,6937,0.003,18,23.6,Good,1
10.74,0.029,5.77,26449,0.048,14,23.7,Good,0
14.41,0.035,1.96,10021,0.009,24,16.2,Good,1
15.22,0.043,7.66,14522,0.186,33,16.5,Good,0
7.64,0.128,5.03,16626,0.078,64,18.9,Fair,0
16.59,0.028,10.73,23716,0.03,22,36.8,Good,0
5.0,0.024,15.78,16541,0.022,43,26.9,Fair,1
14.37,0.034,1.17,11852,0.006,88,21.2,Good,1
11.15,0.003,7.93,4502,0.163,25,23.0,Fair,0
9.88,0.013,0.93,7173,0.01,63,34.0,Good,1
10.77,0.045,0.49,12244,0.059,42,18.7,Poor,1
14.61,0.131,9.27,21665,0.271,26,21.8,Good,0
7.84,0.023,0.75,7607,0.103,64,26.2,Fair,0
8.0,0.0,1.14,22488,0.005,48,28.9,Good,1
9.05,0.025,11.16,17144,0.01,88,25.1,Good,1
10.43,0.022,1.48,18785,0.0,55,21.5,Poor,1
11.56,0.05,4.66,6363,0.019,26,31.0,Good,1
9.56,0.007,2.22,11692,0.029,71,25.2,Fair,1
14.3,0.031,1.57,17278,0.007,80,30.2,Good,1
9.76,0.065,4.31,17666,0.081,36,12.5,Good,1
6.87,0.021,4.55,29271,0.003,55,28.1,Good,0
11.53,0.043,8.54,38483,0.126,81,19.9,Good,0
5.3,0.014,1.25,3060,0.099,10,20.2,Good,1
11.55,0.013,5.85,12883,0.031,44,26.8,Fair,1
16.19,0.075,0.04,16264,0.026,82,26.5,Good,0
15.0,0.029,4.26,28204,0.099,18,21.9,Good,0
6.71,0.041,8.4,21576,0.027,82,31.0,Good,1
10.03,0.013,7.93,22811,0.056,23,19.3,Good,1
12.67,0.064,2.44,10141,0.047,56,23.6,Good,0
13.69,0.031,2.39,8088,0.063,23,24.4,Good,1
11.32,0.019,2.38,3530,0.039,22,15.2,Good,1
5.56,0.032,3.27,8056,0.015,73,27.8,Poor,1
5.51,0.002,1.58,14901,0.008,65,19.2,Good,1
10.33,0.008,3.73,22424,0.019,12,16.1,Good,1
15.61,0.012,0.05,8192,0.037,56,25.5,Good,1
11.43,0.105,7.05,6036,0.015,47,21.2,Fair,0
10.45,0.066,1.37,12658,0.055,41,34.7,Fair,1
10.77,0.015,5.6,10787,0.1,66,18.4,Good,1
5.96,0.008,5.44,7809,0.015,43,25.9,Good,1
9.87,0.004,3.57,3189,0.028,9,34.0,Good,1
6.27,0.012,0.76,18598,0.158,77,21.4,Good,1
6.62,0.001,4.45,22574,0.009,73,25.3,Fair,1
6.51,0.012,1.22,12136,0.041,39,21.6,Good,1
13.49,0.015,4.3,6292,0.034,67,37.8,Good,1
11.3,0.023,2.07,9262,0.007,48,24.7,Fair,1
6.78,0.026,19.32,22031,0.027,70,27.4,Good,1
8.71,0.075,1.7,4591,0.053,65,16.0,Good,1
13.25,0.004,19.74,12057,0.053,32,28.5,Good,0
7.01,0.051,2.87,965,0.144,8,38.3,Poor,0
10.29,0.034,7.69,18991,0.001,67,23.3,Poor,0
8.26,0.101,2.54,14380,0.001,63,19.7,Good,1
9.85,0.034,3.89,25793,0.099,57,25.1,Good,1
14.68,0.042,1.72,500,0.125,16,23.6,Good,0
7.98,0.035,2.34,14820,0.083,63,24.7,Fair,1
8.11,0.013,7.13,12617,0.197,46,28.9,Good,0
5.0,0.018,9.75,20659,0.047,58,28.9,Fair,1
10.87,0.053,6.0,15257,0.103,23,24.8,Good,0
7.44,0.023,3.38,10545,0.048,75,25.2,Good,1
6.53,0.005,15.66,17580,0.025,24,27.5,Fair,1
7.05,0.004,8.96,2428,0.031,38,20.3,Fair,0
12.3,0.061,10.68,11688,0.014,54,29.0,Good,0
8.33,0.017,1.56,22742,0.047,77,27.0,Good,1
